trip1,trip2,trip3,trip4,trip5,trip6,trip7,trip8,cost
122,0,0,0,101,0,0,0,3
122,0,0,0,101,142,121,0,3
122,0,0,0,102,0,0,0,3
122,0,0,0,103,0,0,0,3
123,0,0,0,101,0,0,0,3
123,0,0,0,101,142,121,0,3
123,0,0,0,102,0,0,0,3
123,0,0,0,103,0,0,0,3
124,0,0,0,101,0,0,0,3
124,0,0,0,101,142,121,0,3
124,0,0,0,102,0,0,0,3
124,0,0,0,103,0,0,0,3
126,0,0,0,104,0,0,0,3
126,0,0,0,104,142,121,0,3
126,0,0,0,106,0,0,0,3
127,0,0,0,104,0,0,0,3
127,0,0,0,104,142,121,0,3
127,0,0,0,106,0,0,0,3
128,0,0,0,107,0,0,0,3
128,0,0,0,107,141,120,0,3
128,0,0,0,108,0,0,0,3
128,0,0,0,109,0,0,0,3
128,108,0,0,128,108,0,0,2
128,108,0,0,129,109,0,0,2
128,108,0,0,132,112,0,0,2
128,108,0,0,137,117,0,0,2
128,108,0,0,137,117,141,120,2
128,108,0,0,140,119,0,0,2
128,108,0,0,140,119,128,108,2
128,108,0,0,140,119,141,120,2
128,108,0,0,141,120,0,0,2
128,108,0,0,142,121,0,0,2
129,0,0,0,107,0,0,0,3
129,0,0,0,107,141,120,0,3
129,0,0,0,108,0,0,0,3
129,0,0,0,109,0,0,0,3
129,109,0,0,128,108,0,0,2
129,109,0,0,129,109,0,0,2
129,109,0,0,132,112,0,0,2
129,109,0,0,137,117,0,0,2
129,109,0,0,137,117,141,120,2
129,109,0,0,140,119,0,0,2
129,109,0,0,140,119,128,108,2
129,109,0,0,140,119,141,120,2
129,109,0,0,141,120,0,0,2
129,109,0,0,142,121,0,0,2
129,109,130,0,107,0,0,0,3
129,109,130,0,107,141,120,0,3
129,109,130,0,108,0,0,0,3
129,109,130,0,109,0,0,0,3
129,109,139,0,116,0,0,0,3
129,109,139,0,116,128,108,0,3
129,109,139,0,117,0,0,0,3
129,109,139,0,117,141,120,0,3
130,0,0,0,107,0,0,0,3
130,0,0,0,107,141,120,0,3
130,0,0,0,108,0,0,0,3
130,0,0,0,109,0,0,0,3
132,0,0,0,112,0,0,0,3
132,112,0,0,128,108,0,0,2
132,112,0,0,129,109,0,0,2
132,112,0,0,132,112,0,0,2
132,112,0,0,137,117,0,0,2
132,112,0,0,137,117,141,120,2
132,112,0,0,140,119,0,0,2
132,112,0,0,140,119,128,108,2
132,112,0,0,140,119,141,120,2
132,112,0,0,141,120,0,0,2
132,112,0,0,142,121,0,0,2
132,112,130,0,107,0,0,0,3
132,112,130,0,107,141,120,0,3
132,112,130,0,108,0,0,0,3
132,112,130,0,109,0,0,0,3
132,112,139,0,116,0,0,0,3
132,112,139,0,116,128,108,0,3
132,112,139,0,117,0,0,0,3
132,112,139,0,117,141,120,0,3
134,0,0,0,115,0,0,0,3
137,0,0,0,116,0,0,0,3
137,0,0,0,116,128,108,0,3
137,0,0,0,117,0,0,0,3
137,0,0,0,117,141,120,0,3
137,117,0,0,128,108,0,0,2
137,117,0,0,129,109,0,0,2
137,117,0,0,132,112,0,0,2
137,117,0,0,137,117,0,0,2
137,117,0,0,137,117,141,120,2
137,117,0,0,140,119,0,0,2
137,117,0,0,140,119,128,108,2
137,117,0,0,140,119,141,120,2
137,117,0,0,141,120,0,0,2
137,117,0,0,142,121,0,0,2
137,117,141,0,119,0,0,0,3
137,117,141,0,119,128,108,0,3
137,117,141,0,119,141,120,0,3
137,117,141,0,120,0,0,0,3
137,117,141,0,121,0,0,0,3
137,117,141,120,128,108,0,0,2
137,117,141,120,129,109,0,0,2
137,117,141,120,132,112,0,0,2
137,117,141,120,137,117,0,0,2
137,117,141,120,137,117,141,120,2
137,117,141,120,140,119,0,0,2
137,117,141,120,140,119,128,108,2
137,117,141,120,140,119,141,120,2
137,117,141,120,141,120,0,0,2
137,117,141,120,142,121,0,0,2
139,0,0,0,116,0,0,0,3
139,0,0,0,116,128,108,0,3
139,0,0,0,117,0,0,0,3
139,0,0,0,117,141,120,0,3
140,0,0,0,119,0,0,0,3
140,0,0,0,119,128,108,0,3
140,0,0,0,119,141,120,0,3
140,0,0,0,120,0,0,0,3
140,0,0,0,121,0,0,0,3
140,119,0,0,128,108,0,0,2
140,119,0,0,129,109,0,0,2
140,119,0,0,132,112,0,0,2
140,119,0,0,137,117,0,0,2
140,119,0,0,137,117,141,120,2
140,119,0,0,140,119,0,0,2
140,119,0,0,140,119,128,108,2
140,119,0,0,140,119,141,120,2
140,119,0,0,141,120,0,0,2
140,119,0,0,142,121,0,0,2
140,119,128,0,107,0,0,0,3
140,119,128,0,107,141,120,0,3
140,119,128,0,108,0,0,0,3
140,119,128,0,109,0,0,0,3
140,119,128,108,128,108,0,0,2
140,119,128,108,129,109,0,0,2
140,119,128,108,132,112,0,0,2
140,119,128,108,137,117,0,0,2
140,119,128,108,137,117,141,120,2
140,119,128,108,140,119,0,0,2
140,119,128,108,140,119,128,108,2
140,119,128,108,140,119,141,120,2
140,119,128,108,141,120,0,0,2
140,119,128,108,142,121,0,0,2
140,119,134,0,115,0,0,0,3
140,119,141,0,119,0,0,0,3
140,119,141,0,119,128,108,0,3
140,119,141,0,119,141,120,0,3
140,119,141,0,120,0,0,0,3
140,119,141,0,121,0,0,0,3
140,119,141,120,128,108,0,0,2
140,119,141,120,129,109,0,0,2
140,119,141,120,132,112,0,0,2
140,119,141,120,137,117,0,0,2
140,119,141,120,137,117,141,120,2
140,119,141,120,140,119,0,0,2
140,119,141,120,140,119,128,108,2
140,119,141,120,140,119,141,120,2
140,119,141,120,141,120,0,0,2
140,119,141,120,142,121,0,0,2
141,0,0,0,119,0,0,0,3
141,0,0,0,119,128,108,0,3
141,0,0,0,119,141,120,0,3
141,0,0,0,120,0,0,0,3
141,0,0,0,121,0,0,0,3
141,120,0,0,128,108,0,0,2
141,120,0,0,129,109,0,0,2
141,120,0,0,132,112,0,0,2
141,120,0,0,137,117,0,0,2
141,120,0,0,137,117,141,120,2
141,120,0,0,140,119,0,0,2
141,120,0,0,140,119,128,108,2
141,120,0,0,140,119,141,120,2
141,120,0,0,141,120,0,0,2
141,120,0,0,142,121,0,0,2
141,120,123,0,101,0,0,0,3
141,120,123,0,101,142,121,0,3
141,120,123,0,102,0,0,0,3
141,120,123,0,103,0,0,0,3
142,0,0,0,119,0,0,0,3
142,0,0,0,119,128,108,0,3
142,0,0,0,119,141,120,0,3
142,0,0,0,120,0,0,0,3
142,0,0,0,121,0,0,0,3
142,121,0,0,128,108,0,0,2
142,121,0,0,129,109,0,0,2
142,121,0,0,132,112,0,0,2
142,121,0,0,137,117,0,0,2
142,121,0,0,137,117,141,120,2
142,121,0,0,140,119,0,0,2
142,121,0,0,140,119,128,108,2
142,121,0,0,140,119,141,120,2
142,121,0,0,141,120,0,0,2
142,121,0,0,142,121,0,0,2
142,121,127,0,104,0,0,0,3
142,121,127,0,104,142,121,0,3
142,121,127,0,106,0,0,0,3
142,121,130,0,107,0,0,0,3
142,121,130,0,107,141,120,0,3
142,121,130,0,108,0,0,0,3
142,121,130,0,109,0,0,0,3
142,121,139,0,116,0,0,0,3
142,121,139,0,116,128,108,0,3
142,121,139,0,117,0,0,0,3
142,121,139,0,117,141,120,0,3
