trip1,trip2,trip3,trip4,trip5,trip6,trip7,trip8,cost
125,0,0,0,105,0,0,0,3
131,0,0,0,110,0,0,0,3
131,0,0,0,110,138,118,0,3
131,0,0,0,111,0,0,0,3
131,111,0,0,131,111,0,0,2
131,111,0,0,138,118,0,0,2
131,111,133,0,110,0,0,0,3
131,111,133,0,110,138,118,0,3
131,111,133,0,111,0,0,0,3
131,111,136,0,113,0,0,0,3
131,111,136,0,113,138,118,0,3
131,111,136,0,114,0,0,0,3
133,0,0,0,110,0,0,0,3
133,0,0,0,110,138,118,0,3
133,0,0,0,111,0,0,0,3
135,0,0,0,113,0,0,0,3
135,0,0,0,113,138,118,0,3
135,0,0,0,114,0,0,0,3
136,0,0,0,113,0,0,0,3
136,0,0,0,113,138,118,0,3
136,0,0,0,114,0,0,0,3
138,0,0,0,118,0,0,0,3
138,118,0,0,131,111,0,0,2
138,118,0,0,138,118,0,0,2
138,118,133,0,110,0,0,0,3
138,118,133,0,110,138,118,0,3
138,118,133,0,111,0,0,0,3
138,118,136,0,113,0,0,0,3
138,118,136,0,113,138,118,0,3
138,118,136,0,114,0,0,0,3
