,trip1,trip2,trip3,trip4,trip5,trip6,trip7,trip8,cost,Total
0,125,0,0,0,105,0,0,0,3,11.0
1,131,0,0,0,110,0,0,0,3,5.0
2,131,0,0,0,110,138,118,0,3,8.0
3,131,0,0,0,111,0,0,0,3,5.0
4,131,111,0,0,131,111,0,0,2,10.0
5,131,111,0,0,138,118,0,0,2,8.0
6,131,111,133,0,110,0,0,0,3,10.0
7,131,111,133,0,110,138,118,0,3,13.0
8,131,111,133,0,111,0,0,0,3,10.0
9,131,111,136,0,113,0,0,0,3,11.0
10,131,111,136,0,113,138,118,0,3,14.0
11,131,111,136,0,114,0,0,0,3,11.0
12,133,0,0,0,110,0,0,0,3,5.0
13,133,0,0,0,110,138,118,0,3,8.0
14,133,0,0,0,111,0,0,0,3,5.0
15,135,0,0,0,113,0,0,0,3,6.0
16,135,0,0,0,113,138,118,0,3,9.0
17,135,0,0,0,114,0,0,0,3,6.0
18,136,0,0,0,113,0,0,0,3,6.0
19,136,0,0,0,113,138,118,0,3,9.0
20,136,0,0,0,114,0,0,0,3,6.0
21,138,0,0,0,118,0,0,0,3,3.0
22,138,118,0,0,131,111,0,0,2,8.0
23,138,118,0,0,138,118,0,0,2,6.0
24,138,118,133,0,110,0,0,0,3,8.0
25,138,118,133,0,110,138,118,0,3,11.0
26,138,118,133,0,111,0,0,0,3,8.0
27,138,118,136,0,113,0,0,0,3,9.0
28,138,118,136,0,113,138,118,0,3,12.0
29,138,118,136,0,114,0,0,0,3,9.0
