,1,2,3,4
0,1,0,0,0
1,1,1,0,0
2,1,0,1,0
3,1,0,0,1
4,1,1,0,0
5,0,1,0,0
6,0,1,1,0
7,0,1,0,1
8,1,0,1,0
9,0,1,1,0
10,0,0,1,0
11,0,0,1,1
12,1,0,0,1
13,0,1,0,1
14,0,0,1,1
15,0,0,0,1
16,1,0,0,0
17,1,1,0,0
18,1,0,1,0
19,1,0,0,1
20,1,1,0,0
21,0,1,0,0
22,0,1,1,0
23,0,1,0,1
24,1,0,1,0
25,0,1,1,0
26,0,0,1,0
27,0,0,1,1
28,1,0,0,1
29,0,1,0,1
30,0,0,1,1
31,0,0,0,1
32,1,0,0,0
33,1,1,0,0
34,1,0,1,0
35,1,0,0,1
36,1,1,0,0
37,0,1,0,0
38,0,1,1,0
39,0,1,0,1
40,1,0,1,0
41,0,1,1,0
42,0,0,1,0
43,0,0,1,1
44,1,0,0,1
45,0,1,0,1
46,0,0,1,1
47,0,0,0,1
48,1,0,0,0
49,1,1,0,0
50,1,0,1,0
51,1,0,0,1
52,1,1,0,0
53,0,1,0,0
54,0,1,1,0
55,0,1,0,1
56,1,0,1,0
57,0,1,1,0
58,0,0,1,0
59,0,0,1,1
60,1,0,0,1
61,0,1,0,1
62,0,0,1,1
63,0,0,0,1
64,1,0,0,0
65,1,1,0,0
66,1,0,1,0
67,1,0,0,1
68,1,1,0,0
69,0,1,0,0
70,0,1,1,0
71,0,1,0,1
72,1,0,1,0
73,0,1,1,0
74,0,0,1,0
75,0,0,1,1
76,1,0,0,1
77,0,1,0,1
78,0,0,1,1
79,0,0,0,1
80,1,0,0,0
81,1,1,0,0
82,1,0,1,0
83,1,0,0,1
84,1,1,0,0
85,0,1,0,0
86,0,1,1,0
87,0,1,0,1
88,1,0,1,0
89,0,1,1,0
90,0,0,1,0
91,0,0,1,1
92,1,0,0,1
93,0,1,0,1
94,0,0,1,1
95,0,0,0,1
96,1,0,0,0
97,1,1,0,0
98,1,0,1,0
99,1,0,0,1
100,1,1,0,0
101,0,1,0,0
102,0,1,1,0
103,0,1,0,1
104,1,0,1,0
105,0,1,1,0
106,0,0,1,0
107,0,0,1,1
108,1,0,0,1
109,0,1,0,1
110,0,0,1,1
111,0,0,0,1
