sat,sun,mon,tue,wed,thu,fri,total
1,0,0,1,0,0,0,22
1,0,0,2,0,0,0,24
1,0,0,3,0,0,0,17
1,0,0,4,0,0,0,17
2,0,0,1,0,0,0,24
2,0,0,2,0,0,0,26
2,0,0,3,0,0,0,19
2,0,0,4,0,0,0,19
3,0,0,1,0,0,0,17
3,0,0,2,0,0,0,19
3,0,0,3,0,0,0,12
3,0,0,4,0,0,0,12
4,0,0,1,0,0,0,17
4,0,0,2,0,0,0,19
4,0,0,3,0,0,0,12
4,0,0,4,0,0,0,12
1,0,0,0,1,0,0,22
1,0,0,0,2,0,0,24
1,0,0,0,3,0,0,17
1,0,0,0,4,0,0,17
2,0,0,0,1,0,0,24
2,0,0,0,2,0,0,26
2,0,0,0,3,0,0,19
2,0,0,0,4,0,0,19
3,0,0,0,1,0,0,17
3,0,0,0,2,0,0,19
3,0,0,0,3,0,0,12
3,0,0,0,4,0,0,12
4,0,0,0,1,0,0,17
4,0,0,0,2,0,0,19
4,0,0,0,3,0,0,12
4,0,0,0,4,0,0,12
0,1,0,0,1,0,0,22
0,1,0,0,2,0,0,24
0,1,0,0,3,0,0,17
0,1,0,0,4,0,0,17
0,2,0,0,1,0,0,24
0,2,0,0,2,0,0,26
0,2,0,0,3,0,0,19
0,2,0,0,4,0,0,19
0,3,0,0,1,0,0,17
0,3,0,0,2,0,0,19
0,3,0,0,3,0,0,12
0,3,0,0,4,0,0,12
0,4,0,0,1,0,0,17
0,4,0,0,2,0,0,19
0,4,0,0,3,0,0,12
0,4,0,0,4,0,0,12
0,1,0,0,0,1,0,22
0,1,0,0,0,2,0,24
0,1,0,0,0,3,0,17
0,1,0,0,0,4,0,17
0,2,0,0,0,1,0,24
0,2,0,0,0,2,0,26
0,2,0,0,0,3,0,19
0,2,0,0,0,4,0,19
0,3,0,0,0,1,0,17
0,3,0,0,0,2,0,19
0,3,0,0,0,3,0,12
0,3,0,0,0,4,0,12
0,4,0,0,0,1,0,17
0,4,0,0,0,2,0,19
0,4,0,0,0,3,0,12
0,4,0,0,0,4,0,12
0,0,1,0,0,1,0,22
0,0,1,0,0,2,0,24
0,0,1,0,0,3,0,17
0,0,1,0,0,4,0,17
0,0,2,0,0,1,0,24
0,0,2,0,0,2,0,26
0,0,2,0,0,3,0,19
0,0,2,0,0,4,0,19
0,0,3,0,0,1,0,17
0,0,3,0,0,2,0,19
0,0,3,0,0,3,0,12
0,0,3,0,0,4,0,12
0,0,4,0,0,1,0,17
0,0,4,0,0,2,0,19
0,0,4,0,0,3,0,12
0,0,4,0,0,4,0,12
0,0,1,0,0,0,1,22
0,0,1,0,0,0,2,24
0,0,1,0,0,0,3,17
0,0,1,0,0,0,4,17
0,0,2,0,0,0,1,24
0,0,2,0,0,0,2,26
0,0,2,0,0,0,3,19
0,0,2,0,0,0,4,19
0,0,3,0,0,0,1,17
0,0,3,0,0,0,2,19
0,0,3,0,0,0,3,12
0,0,3,0,0,0,4,12
0,0,4,0,0,0,1,17
0,0,4,0,0,0,2,19
0,0,4,0,0,0,3,12
0,0,4,0,0,0,4,12
0,0,0,1,0,0,1,22
0,0,0,1,0,0,2,24
0,0,0,1,0,0,3,17
0,0,0,1,0,0,4,17
0,0,0,2,0,0,1,24
0,0,0,2,0,0,2,26
0,0,0,2,0,0,3,19
0,0,0,2,0,0,4,19
0,0,0,3,0,0,1,17
0,0,0,3,0,0,2,19
0,0,0,3,0,0,3,12
0,0,0,3,0,0,4,12
0,0,0,4,0,0,1,17
0,0,0,4,0,0,2,19
0,0,0,4,0,0,3,12
0,0,0,4,0,0,4,12
